City,Lat,Lon,Year,Wind_Speed_Knots,Pressure_hPa,Storm_Category,Terrain,Affected_Population,Economic_Loss_Millions,Block_ID
Chennai Delta 2007-3,12.74218997580532,80.45068629143552,2007,99,985,3,Coastal Delta,2584833,8385,CYC_13.0_80.0_COAS
Mumbai Urban Coast 2008-2,19.25106812660673,72.9415658209739,2008,158,966,5,Coastal Urban,4896091,23235,CYC_19.0_73.0_COAS
Sundarbans Basin 2009-4,21.902896934203337,88.86855368298,2009,97,966,3,Floodplain,646828,2396,CYC_22.0_89.0_FLOO
Sundarbans Basin 2010-3,21.834652897151358,89.18910793385258,2010,183,931,5,Floodplain,711518,4521,CYC_22.0_89.0_FLOO
Chennai Delta 2010-3,12.930560551223417,79.918458206373,2010,84,991,2,Coastal Delta,2553913,7115,CYC_13.0_80.0_COAS
Chennai Delta 2011-1,12.769944964694178,80.15067960030274,2011,113,979,4,Coastal Delta,2258196,9571,CYC_13.0_80.0_COAS
Odisha Coast 2011-4,19.594129251394897,86.11585034770614,2011,108,976,3,Coastal Delta,2119366,5717,CYC_20.0_86.0_COAS
Mumbai Urban Coast 2011-2,18.771265591067355,73.06799504831231,2011,122,981,4,Coastal Urban,4618626,17941,CYC_19.0_73.0_COAS
Mumbai Urban Coast 2012-1,18.967774549900714,72.86049861237363,2012,94,992,2,Coastal Urban,4919020,13823,CYC_19.0_73.0_COAS
Odisha Coast 2012-3,19.52647368461635,86.14135928039471,2012,155,958,5,Coastal Delta,2240296,8205,CYC_20.0_86.0_COAS
Chennai Delta 2012-2,12.801956659119343,80.340982585038,2012,164,959,5,Coastal Delta,3017787,13891,CYC_13.0_80.0_COAS
Mumbai Urban Coast 2013-4,18.72374197141045,72.56085659559078,2013,86,995,2,Coastal Urban,6627121,12647,CYC_19.0_73.0_COAS
Chennai Delta 2013-3,13.117827014847965,80.03112445159772,2013,136,970,4,Coastal Delta,4118113,11520,CYC_13.0_80.0_COAS
Sundarbans Basin 2013-3,21.714568272699143,88.77735318086673,2013,200,925,5,Floodplain,1009328,4941,CYC_22.0_89.0_FLOO
Sundarbans Basin 2015-4,22.19419780649497,88.73473002529983,2015,130,953,4,Floodplain,954877,3211,CYC_22.0_89.0_FLOO
Mumbai Urban Coast 2015-1,18.816077830893015,72.9602029312017,2015,82,997,1,Coastal Urban,6535834,12058,CYC_19.0_73.0_COAS
Odisha Coast 2017-4,19.571931315900354,86.22865964695622,2017,157,957,5,Coastal Delta,2284408,8311,CYC_20.0_86.0_COAS
Sundarbans Basin 2017-4,21.708575536740817,89.19957388857073,2017,134,951,4,Floodplain,380337,3310,CYC_22.0_89.0_FLOO
