City,Lat,Lon,Year,Rainfall_mm,Flood_Depth_Meters,Terrain,Affected_Population,Economic_Loss_Millions,Block_ID
Mumbai Coast 2007-2,19.0,72.8,2007,1222,8.2,Coastal Delta,2942448,4646,FLD_19.0_73.0_COAS
Brahmaputra Basin 2008-1,26.2,91.7,2008,877,20.5,River Valley,160147,1640,FLD_26.0_91.5_RIVE
Bangalore Catchment 2008-4,12.9,77.5,2008,254,3.0,Urban Catchment,505092,640,FLD_13.0_77.5_URBA
Bangalore Catchment 2009-4,12.9,77.5,2009,272,3.3,Urban Catchment,738498,704,FLD_13.0_77.5_URBA
Mumbai Coast 2010-4,19.0,72.8,2010,1438,10.0,Coastal Delta,1948789,5666,FLD_19.0_73.0_COAS
Gangetic Plains 2010-2,25.6,85.1,2010,401,7.1,Floodplain,704452,2130,FLD_25.5_85.0_FLOO
Bangalore Catchment 2010-1,12.9,77.5,2010,343,4.3,Urban Catchment,850435,917,FLD_13.0_77.5_URBA
Gangetic Plains 2011-4,25.6,85.1,2011,405,7.1,Floodplain,3236447,2130,FLD_25.5_85.0_FLOO
Brahmaputra Basin 2012-4,26.2,91.7,2012,340,6.6,River Valley,796276,528,FLD_26.0_91.5_RIVE
Mumbai Coast 2013-1,19.0,72.8,2013,1059,6.9,Coastal Delta,1020886,3910,FLD_19.0_73.0_COAS
Brahmaputra Basin 2014-1,26.2,91.7,2014,621,13.6,River Valley,181160,1088,FLD_26.0_91.5_RIVE
Gangetic Plains 2015-1,25.6,85.1,2015,352,6.0,Floodplain,1910256,1800,FLD_25.5_85.0_FLOO
Bangalore Catchment 2015-2,12.9,77.5,2015,257,3.1,Urban Catchment,889938,661,FLD_13.0_77.5_URBA
Brahmaputra Basin 2016-3,26.2,91.7,2016,647,14.3,River Valley,336736,1144,FLD_26.0_91.5_RIVE
Mumbai Coast 2017-2,19.0,72.8,2017,951,6.1,Coastal Delta,5664173,3456,FLD_19.0_73.0_COAS
Bangalore Catchment 2017-2,12.9,77.5,2017,193,2.2,Urban Catchment,1697412,469,FLD_13.0_77.5_URBA
